country,countryiso3code,year,GDP growth %,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate,Foreign Domestic Investment(FDI),Gross Capital Formation(GCF),Gross Domestic Product(GDP),Gross National Income(GNI)
Argentina,ARG,2018,-2.61739646282038,-4.00873853854779,12.5233402252197,,76.77,,0.822969480473088,32.0,9.22,11.7167698187543,87.1929734559099,524.819892360176,506.094045059703
Argentina,ARG,2019,-2.00086100285785,-4.28506607799207,12.5144596099854,,76.847,,0.710900853077743,35.5,9.843,6.6491878379860605,63.6260766556509,447.75468361522496,430.166792070565
Argentina,ARG,2020,-9.9004848136464,-8.95569087594296,12.4222898483276,,75.878,,0.484665636741261,42.0,11.461,4.88412767595708,55.605095047408206,385.740508436965,375.34405734193
Argentina,ARG,2021,10.4418119882506,13.5018974078873,12.2848997116089,,73.948,,0.265879395046274,37.3,8.736,6.65804967927728,87.9527314640831,486.564085480036,476.80227100763096
Argentina,ARG,2022,5.26987967384072,6.18601866758203,12.7075796127319,,75.806,,0.210808731072658,39.2,6.805,15.200600517715,109.344848758005,632.7900700631241,621.165221747635
Argentina,ARG,2023,-1.61100162090189,-1.91322363208614,,,77.395,,0.286976121920089,41.7,6.139,23.866141439654,125.154724441877,646.075277525125,632.729881149353
Australia,AUS,2018,2.87846971467883,,15.1084365844727,1.91140094445691,82.7487804878049,,1.49599671041328,,5.3,60.686639529923,351.903698880724,1427.80904101944,1382.73959011565
Australia,AUS,2019,2.17154505737176,,15.2933683395386,1.61076787290379,82.9,,1.47749071058438,,5.159,38.7451296611196,325.776046356446,1392.72383456264,1345.8538744923
Australia,AUS,2020,-0.119590735829973,,14.4562530517578,0.846905537459305,83.2,,1.23342825131378,,6.456,17.9768436813118,297.933100095123,1328.4140583783799,1298.36882965052
Australia,AUS,2021,2.11116814768786,,13.1453952789307,2.86391042204994,83.3,,0.14089508329287,,5.116,31.518948092713902,357.072221239539,1556.73577043726,1539.2736155549499
Australia,AUS,2022,4.24238555336139,,13.9446935653687,6.59409671341846,83.2,,1.27269881377618,,3.728,70.36498211701871,401.88638311179903,1690.85824699443,1626.53996936568
Australia,AUS,2023,3.44199220009025,,,5.5970149253731,83.0512195121951,,2.42431553908742,,3.668,32.4804222293843,414.28475278978004,1728.05731669561,1653.70310543957
Brazil,BRA,2018,1.783666761634,0.877936690357544,12.8152103424072,3.66485028376729,75.633,93.0,0.683439571425594,,12.329,78.18384004498,289.36196990824703,1916.9338980109899,1863.6309879646699
Brazil,BRA,2019,1.22077782360842,0.775060034347106,12.7402696609497,3.73297621216894,75.809,,0.651994346081362,,11.936,69.17441175345,290.674211877841,1873.28820505969,1822.99439590252
Brazil,BRA,2020,-3.2767587964736,-2.31784424900519,11.5625896453857,3.21176803803376,74.506,,0.579350709708032,,13.697,38.270116307449996,237.886793319883,1476.10723131049,1445.31114060249
Brazil,BRA,2021,4.76260437908608,4.62924047827924,12.8002004623413,8.30165975585673,73.038,,0.425360907216456,,13.158,46.44050352019,326.141864314499,1670.6473989049,1618.52512555147
Brazil,BRA,2022,3.01669435393015,2.50863438421523,,9.28010608956873,74.872,94.6900024414062,0.360180890872169,,9.231,74.60636183023,353.06830554786296,1951.92394208332,1895.3458893061002
Brazil,BRA,2023,3.24165532906981,3.63796390463595,,4.59356282283204,75.848,,0.395928695574996,,7.947,62.44188008995,345.336547419299,2191.13176568463,2121.60597013043
Canada,CAN,2018,2.74296344906655,2.54353116401309,12.9341850280762,2.26822567248103,81.8087804878049,,1.43322615679352,,5.837,42.6037620485971,403.33557396439204,1725.32919278302,1695.9966085361
Canada,CAN,2019,1.90843194590616,2.14326374517316,12.6524801254272,1.94926902411593,82.1636585365854,,1.46171259938134,,5.69,48.9423007622452,401.79655325617,1743.72518367252,1722.9457610616598
Canada,CAN,2020,-5.03823343468899,-5.51790317825308,9.87754249572754,0.716999632307827,81.5351219512195,,1.08436897113225,,9.657,29.1230118792998,375.421837071774,1655.68473000019,1643.6883329208702
Canada,CAN,2021,5.95052802804381,9.72947150023028,11.0546884536743,3.39519318527528,81.5168292682927,,0.553902422386893,,7.527,60.1896901118854,491.54027716324595,2022.37874842323,2003.7907993506699
Canada,CAN,2022,4.18903628100851,5.21198244007184,11.0546884536743,6.80280115341613,81.2453658536585,,1.80390457488184,,5.279,50.2299207760187,554.5828834919549,2190.41108013432,2159.56566296168
Canada,CAN,2023,1.52874550838358,-0.644577377942724,,3.87900159788426,81.6465853658537,,2.90468017061162,,5.415,42.0762421203715,519.317366238736,2173.33967006433,2135.14671504355
China,CHN,2018,6.75671800166833,,11.4506902694702,2.07479039965576,77.709,,0.467672053461959,1.7,4.31,235.36505003634102,6127.9388605458,14147.765772963801,14086.737564950901
China,CHN,2019,6.06850235053705,,11.2266368865967,2.89923416358227,77.94,,0.354740890170827,0.6,4.56,187.169822364755,6212.75594802548,14560.167101283401,14520.157750328
China,CHN,2020,2.34018843078414,,10.5329275131226,2.41942189457782,78.019,97.0,0.238040870229883,0.0,5.0,253.09561605858,6384.32945207395,14996.4141667151,14878.8083991243
China,CHN,2021,8.57008513166322,,10.8503179550171,0.981015135544882,78.117,,0.0892522000412526,,4.55,344.07497706248,7768.89660760043,18201.698719564,18077.5518590164
China,CHN,2022,3.1341888719577,,10.5049028396606,1.97357555739051,78.202,,-0.0130995013525784,,4.98,190.20378909251002,7758.145200097731,18316.7650216902,18163.5461124706
