country,countryiso3code,year,FDI,GDP,GDP growth %,GNI,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Nigeria,NGA,2018,775247400.003029,421739251509.08,1.92275734200651,410486871490.792,5.94455194473267,12.0951065173432,52.669,62.0160102844238,2.31217263003389,40.1,
Nigeria,NGA,2019,2305099811.70358,474517490844.461,2.20842927714881,465356470849.403,5.85497188568115,11.3964223378115,53.009,,2.1944019229433,,125.313095816666
Nigeria,NGA,2020,2385277665.91608,432198898467.795,-1.79425308274458,427431916390.616,5.13143682479858,13.2460234276597,53.072,,2.13029714344341,,
Nigeria,NGA,2021,3313210000.0,440833635873.827,3.64718654072446,432250677057.07,5.14022588729858,16.9528457221608,53.455,63.1555404663086,2.09618685225463,,
Nigeria,NGA,2022,-186792428.930928,477403400101.174,3.25168140827093,464530827755.53,4.30281782150269,18.8471877843274,54.079,,2.09281687128387,,155.731225296443
Nigeria,NGA,2023,1872520530.04695,363846332834.618,2.86021499108364,352906093813.226,4.40417003631592,24.6595502031139,54.462,,2.09838916935738,,160.536206464545
