country,countryiso3code,year,FDI,GCF,GDP,GDP growth %,GNI,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Arab World,ARB,2019,34413431967.3474,778192088386.498,2949355029586.25,1.72691613697276,2948859935290.88,0.909276627487316,11.5391597747803,1.09184802655856,71.8398932674972,74.8075180053711,1.88201603418311,,10.2160980238311
Arab World,ARB,2020,32410671974.4138,637654531174.794,2596422612311.05,-4.75714499576827,2591763651872.83,-11.8932625718677,,1.61222220402456,70.7265588103862,75.1214599609375,2.10294522896747,,11.3256125416623
Arab World,ARB,2021,68885397873.7188,774199980496.507,3077906530882.01,4.40457595978891,3079148637670.3,14.1083869393109,,2.96581008346286,70.4041144889903,75.5395736694336,1.51437547360799,,10.8896587837575
Arab World,ARB,2022,77964721183.4329,942300231523.601,3738584480489.16,6.9954138183775,3729703174314.52,16.6904298496841,,5.08754200853911,71.8760955992222,75.8184585571289,2.29741398218854,,9.9535706462442
Arab World,ARB,2023,86426089830.8292,958252169224.925,3606002342262.32,1.5043551993806,3614559123936.86,-1.84058033221191,,3.64216403030709,72.4446783578531,76.1542587280273,2.25586602644063,,9.58139714330623
Argentina,ARG,2018,11716769818.7543,87192973455.9099,524819892360.176,-2.61739646282038,506094045059.703,-4.00873853854779,12.5233402252197,,76.77,,0.822969480473088,32.0,9.22
Argentina,ARG,2019,6649187837.98606,63626076655.6509,447754683615.225,-2.00086100285785,430166792070.565,-4.28506607799207,12.5144596099854,,76.847,,0.710900853077743,35.5,9.843
Argentina,ARG,2020,4884127675.95708,55605095047.4082,385740508436.965,-9.9004848136464,375344057341.93,-8.95569087594296,12.4222898483276,,75.878,,0.484665636741261,42.0,11.461
Argentina,ARG,2021,6658049679.27728,87952731464.0831,486564085480.036,10.4418119882506,476802271007.631,13.5018974078873,12.2848997116089,,73.948,,0.265879395046274,37.3,8.736
Argentina,ARG,2022,15200600517.715,109344848758.005,632790070063.124,5.26987967384072,621165221747.635,6.18601866758203,12.7075796127319,,75.806,,0.210808731072658,39.2,6.805
Argentina,ARG,2023,23866141439.654,125154724441.877,646075277525.125,-1.61100162090189,632729881149.353,-1.91322363208614,,,77.395,,0.286976121920089,41.7,6.139
Armenia,ARM,2018,266855048.832037,2790546241.10527,12457940694.7395,5.19999999965324,12658281183.7745,3.87512771602255,8.98857688903809,2.52023382001638,75.619512195122,,-0.349674218173286,,18.966
Armenia,ARM,2019,100287214.397978,2370918199.06868,13619290539.2116,7.59999999853918,13807148386.5538,6.24710800287272,10.0050926208496,1.44344660770698,76.2219512195122,,-0.219168932037313,26.4,18.304
